,State,District,Year,Season,Crop,Area,Production,Avg_Temperature,rainfall,Avg_windspeed,Avg_pressure,Avg_humidity,Avg_uvindex,sunhours,
143,Andhra Pradesh,WEST GODAVARI,2014,Kharif     ,Rice,231475,733313,30.5,194.46,11,1005.25,67.5,6.25,1145,
144,Andhra Pradesh,WEST GODAVARI,2014,Rabi       ,Rice,177811,891011,28,58.65,10,1012.83,64,7.16,467,
145,Andhra Pradesh,WEST GODAVARI,2014,Whole Year ,Rice,409286,1624324,30.5,,10.5,1008.166,61.384,7.08,,
146,Arunachal Pradesh,ANJAW,2010,Kharif     ,Rice,3949,3631,19.5,,0.25,1010.5,83.25,4.25,,
147,Arunachal Pradesh,ANJAW,2011,Kharif     ,Rice,3489,2988,19.5,,4.25,1009.75,80.25,5.25,,
148,Arunachal Pradesh,ANJAW,2012,Kharif     ,Rice,3561,2996,19.5,,4.75,1007.25,80.75,4.25,,
149,Arunachal Pradesh,ANJAW,2013,Kharif     ,Rice,3561,2624,19.5,,4.5,1010,81,5.5,,
150,Arunachal Pradesh,ANJAW,2014,Kharif     ,Rice,3561,2394,19.5,,4.5,1010.5,81,5.25,,
151,Arunachal Pradesh,CHANGLANG,2010,Kharif     ,Rice,9585,18265,,,,,,,,
152,Arunachal Pradesh,CHANGLANG,2011,Kharif     ,Rice,10260,20873,,,,,,,,
153,Arunachal Pradesh,CHANGLANG,2012,Kharif     ,Rice,9605,19512,,,,,,,,
154,Arunachal Pradesh,CHANGLANG,2013,Kharif     ,Rice,9681,19750,,,,,,,,
155,Arunachal Pradesh,CHANGLANG,2014,Kharif     ,Rice,9081,20169,,,,,,,,
156,Arunachal Pradesh,DIBANG VALLEY,2010,Kharif     ,Rice,1585,1268,,,,,,,,
157,Arunachal Pradesh,DIBANG VALLEY,2011,Kharif     ,Rice,1610,1382,,,,,,,,
158,Arunachal Pradesh,DIBANG VALLEY,2012,Kharif     ,Rice,1682,1420,,,,,,,,
159,Arunachal Pradesh,DIBANG VALLEY,2013,Kharif     ,Rice,1690,1486,,,,,,,,
160,Arunachal Pradesh,DIBANG VALLEY,2014,Kharif     ,Rice,1690,1485,,,,,,,,
161,Arunachal Pradesh,EAST KAMENG,2010,Kharif     ,Rice,8267,7178,,,,,,,,
162,Arunachal Pradesh,EAST KAMENG,2011,Kharif     ,Rice,8398,7822,,,,,,,,
163,Arunachal Pradesh,EAST KAMENG,2012,Kharif     ,Rice,8768,8442,,,,,,,,
164,Arunachal Pradesh,EAST KAMENG,2013,Kharif     ,Rice,8968,9087,,,,,,,,
165,Arunachal Pradesh,EAST KAMENG,2014,Kharif     ,Rice,8968,9436,,,,,,,,
166,Arunachal Pradesh,EAST SIANG,2010,Kharif     ,Rice,15137,24103,,,,,,,,
167,Arunachal Pradesh,EAST SIANG,2011,Kharif     ,Rice,15378,26268,,,,,,,,
168,Arunachal Pradesh,EAST SIANG,2012,Kharif     ,Rice,16770,27098,,,,,,,,
169,Arunachal Pradesh,EAST SIANG,2013,Kharif     ,Rice,16770,27044,,,,,,,,
170,Arunachal Pradesh,EAST SIANG,2014,Kharif     ,Rice,16120,27463,,,,,,,,
171,Arunachal Pradesh,KURUNG KUMEY,2010,Kharif     ,Rice,400,527,,,,,,,,
172,Arunachal Pradesh,KURUNG KUMEY,2011,Kharif     ,Rice,406,574,,,,,,,,
173,Arunachal Pradesh,KURUNG KUMEY,2012,Kharif     ,Rice,410,590,,,,,,,,
174,Arunachal Pradesh,KURUNG KUMEY,2013,Kharif     ,Rice,53,74,,,,,,,,
175,Arunachal Pradesh,KURUNG KUMEY,2014,Kharif     ,Rice,53,74,,,,,,,,
176,Arunachal Pradesh,LOHIT,2010,Kharif     ,Rice,11654,20263,,,,,,,,
177,Arunachal Pradesh,LOHIT,2011,Kharif     ,Rice,11839,22082,,,,,,,,
178,Arunachal Pradesh,LOHIT,2012,Kharif     ,Rice,12239,23512,,,,,,,,
179,Arunachal Pradesh,LOHIT,2013,Kharif     ,Rice,12150,21662,,,,,,,,
180,Arunachal Pradesh,LOHIT,2014,Kharif     ,Rice,11450,22080,,,,,,,,
181,Arunachal Pradesh,LONGDING,2013,Kharif     ,Rice,2890,2504,,,,,,,,
182,Arunachal Pradesh,LONGDING,2014,Kharif     ,Rice,2890,2923,,,,,,,,
183,Arunachal Pradesh,LOWER DIBANG VALLEY,2010,Kharif     ,Rice,11180,13760,,,,,,,,
184,Arunachal Pradesh,LOWER DIBANG VALLEY,2011,Kharif     ,Rice,11357,14995,,,,,,,,
185,Arunachal Pradesh,LOWER DIBANG VALLEY,2012,Kharif     ,Rice,11460,14822,,,,,,,,
186,Arunachal Pradesh,LOWER DIBANG VALLEY,2013,Kharif     ,Rice,14595,16058,,,,,,,,
187,Arunachal Pradesh,LOWER DIBANG VALLEY,2014,Kharif     ,Rice,13906,16479,,,,,,,,
188,Arunachal Pradesh,LOWER SUBANSIRI,2010,Kharif     ,Rice,8155,10655,,,,,,,,
189,Arunachal Pradesh,LOWER SUBANSIRI,2011,Kharif     ,Rice,8285,1161,,,,,,,,
190,Arunachal Pradesh,LOWER SUBANSIRI,2012,Kharif     ,Rice,8290,14358,,,,,,,,
191,Arunachal Pradesh,LOWER SUBANSIRI,2013,Kharif     ,Rice,8373,14792,,,,,,,,
192,Arunachal Pradesh,LOWER SUBANSIRI,2014,Kharif     ,Rice,7673,15210,,,,,,,,
193,Arunachal Pradesh,PAPUM PARE,2010,Kharif     ,Rice,9083,14684,,,,,,,,
194,Arunachal Pradesh,PAPUM PARE,2011,Kharif     ,Rice,9227,16002,,,,,,,,
195,Arunachal Pradesh,PAPUM PARE,2012,Kharif     ,Rice,9975,16753,,,,,,,,
196,Arunachal Pradesh,PAPUM PARE,2013,Kharif     ,Rice,12025,22686,,,,,,,,
197,Arunachal Pradesh,PAPUM PARE,2014,Kharif     ,Rice,11325,23105,,,,,,,,
198,Arunachal Pradesh,TAWANG,2010,Kharif     ,Rice,765,795,5,244.77,9.55,1013.025,75.5,2.25,1308.5,
199,Arunachal Pradesh,TAWANG,2011,Kharif     ,Rice,777,866,5.5,223.94,10.525,1012.05,66.75,2.5,1368,
200,Arunachal Pradesh,TAWANG,2012,Kharif     ,Rice,835,930,6,295.67,10.525,1011.175,64.75,2.5,1356,
201,Arunachal Pradesh,TAWANG,2013,Kharif     ,Rice,835,879,5.5,252.75,10.35,1011.675,67.5,2,1348,
202,Arunachal Pradesh,TAWANG,2014,Kharif     ,Rice,835,1298,5.75,284.64,40.7,1012.475,68,1.75,1335.5,
203,Arunachal Pradesh,TIRAP,2010,Kharif     ,Rice,5002,4073,26.25,388.7,2.825,1008.475,83,6.75,1035.5,
204,Arunachal Pradesh,TIRAP,2011,Kharif     ,Rice,5082,4438,27,422.22,3.45,1007.825,78,6.5,1051,
205,Arunachal Pradesh,TIRAP,2012,Kharif     ,Rice,5080,4487,26.25,892.13,3.475,1007.225,83.25,6,951,
206,Arunachal Pradesh,TIRAP,2013,Kharif     ,Rice,2280,1976,26.75,565.77,3.4,1007.325,80.25,6,1047.5,
207,Arunachal Pradesh,TIRAP,2014,Kharif     ,Rice,2280,2908,26.5,643.91,3.25,1008.025,80.25,6.75,1005.5,
208,Arunachal Pradesh,UPPER SIANG,2010,Kharif     ,Rice,6625,7742,,,,,,,,
209,Arunachal Pradesh,UPPER SIANG,2011,Kharif     ,Rice,6730,8436,,,,,,,,
210,Arunachal Pradesh,UPPER SIANG,2012,Kharif     ,Rice,6590,8285,,,,,,,,
211,Arunachal Pradesh,UPPER SIANG,2013,Kharif     ,Rice,6615,8510,,,,,,,,
212,Arunachal Pradesh,UPPER SIANG,2014,Kharif     ,Rice,6615,8794,,,,,,,,
213,Arunachal Pradesh,UPPER SUBANSIRI,2010,Kharif     ,Rice,4169,5681,,,,,,,,
214,Arunachal Pradesh,UPPER SUBANSIRI,2011,Kharif     ,Rice,4235,6190,,,,,,,,
